t,mx,my,mz,E_total,Q,cx_nm,cy_nm
8.327e-10,0.0214644386916,-0.0547718316315,0.00525659982157,2.35329580311e-18,0.430678491739,-97.5,97.5
8.427e-10,0.0213669853759,-0.0552036130215,0.00567411393301,2.35343787411e-18,0.431369742628,-97.5,97.5
8.527e-10,0.0214489087243,-0.0555847149865,0.00624755432868,2.35357385814e-18,0.431657314674,-97.5,97.5
8.627e-10,0.021741935523,-0.0559375769775,0.00686232043642,2.35368583043e-18,0.431461585396,-97.5,97.5
8.727e-10,0.0222401367401,-0.0562994277573,0.00742380005802,2.35377270334e-18,0.430811712623,-97.5,97.5
8.827e-10,0.022910701915,-0.0567075470041,0.00786470096459,2.35384874295e-18,0.429839268005,-97.5,97.5
8.927e-10,0.0237079274061,-0.0571855241884,0.00814697249315,2.35393222235e-18,0.428728584664,37.5,97.5
9.027e-10,0.0245858333954,-0.0577353652536,0.0082618255632,2.35403455708e-18,0.427647881194,27.5,97.5
9.127e-10,0.0255066581876,-0.0583358699698,0.00822697464683,2.35416296774e-18,0.426720275128,27.5,97.5
9.227e-10,0.0264444657686,-0.0589448164453,0.00807888680682,2.35432738839e-18,0.426055308468,27.5,97.5
9.327e-10,0.0273836962483,-0.0595054047979,0.00786085063663,2.35453633185e-18,0.425782315386,97.5,97.5
9.427e-10,0.0283130670997,-0.0599590403023,0.00761127235978,2.35478699722e-18,0.426015868819,97.5,97.5
9.527e-10,0.0292173346971,-0.060261970518,0.00735685669125,2.35506244249e-18,0.426766288019,97.5,97.5
9.627e-10,0.0300714762896,-0.0603992464446,0.00711220183418,2.35533463105e-18,0.427880799345,97.5,97.5
9.727e-10,0.0308411153459,-0.0603912497367,0.00688389087725,2.35556860267e-18,0.429079389745,-97.5,97.5
9.827e-10,0.0314895652283,-0.0602913872395,0.00667610351713,2.35573172218e-18,0.430065673744,-97.5,97.5
9.927e-10,0.0319884828901,-0.0601750731028,0.00649578860365,2.35580818575e-18,0.430635044753,-97.5,97.5
1.0027e-09,0.0323280681059,-0.0601220502165,0.00635614261485,2.35580830863e-18,0.430718918405,-97.5,97.5
1.0127e-09,0.0325238716249,-0.0601968814231,0.00627673206879,2.35576563188e-18,0.430364640907,-97.5,97.5
1.0227e-09,0.0326187528676,-0.0604332242075,0.00627899396179,2.35572557948e-18,0.429689499986,-97.5,97.5
1.0327e-09,0.0326791961429,-0.0608259696174,0.00637821852742,2.35573141225e-18,0.42884097962,-97.5,97.5
1.0427e-09,0.0327858410662,-0.0613332308207,0.00657557393607,2.35581144533e-18,0.427971710238,97.5,97.5
1.0527e-09,0.0330196373207,-0.0618874956479,0.0068538557048,2.35597267734e-18,0.427223201739,97.5,97.5
1.0627e-09,0.0334466547401,-0.0624120466278,0.00717848808965,2.3562034712e-18,0.426709665896,97.5,97.5
1.0727e-09,0.0341048810055,-0.0628373821924,0.00750285408772,2.35648086299e-18,0.426498247678,97.5,97.5
1.0827e-09,0.0349954626478,-0.0631140522188,0.00777590468764,2.35677687574e-18,0.426593275973,97.5,97.5
1.0927e-09,0.0360799789132,-0.0632205889897,0.00795034655267,2.35706342596e-18,0.42693808398,97.5,97.5
1.1027e-09,0.0372848683502,-0.0631659474493,0.00799059234358,2.35731703376e-18,0.42743691779,97.5,97.5
1.1127e-09,0.0385132731063,-0.0629861567216,0.00787999548909,2.35752206084e-18,0.42798401653,97.5,97.5
1.1227e-09,0.0396627002078,-0.0627360203539,0.00762630357451,2.35767155509e-18,0.428486364081,-97.5,97.5
1.1327e-09,0.0406447052959,-0.0624778567286,0.00726340499479,2.35776710632e-18,0.428877092202,-97.5,97.5
1.1427e-09,0.0414017662149,-0.0622695264802,0.00684752492489,2.35781853625e-18,0.42912271104,-97.5,97.5
1.1527e-09,0.0419173528226,-0.0621538402745,0.00644762903525,2.35784260215e-18,0.429224858078,-97.5,97.5
1.1627e-09,0.042217291671,-0.0621512561448,0.00613204954133,2.35786056974e-18,0.429213328592,-97.5,97.5
1.1727e-09,0.0423627966461,-0.0622571627814,0.00595474529776,2.35789517165e-18,0.429129813348,-97.5,97.5
1.1827e-09,0.0424373253415,-0.0624440910058,0.00594452160186,2.35796641218e-18,0.429010215055,-97.5,97.5
1.1927e-09,0.0425304427632,-0.0626684322984,0.0060995219022,2.35808612321e-18,0.428876954309,-97.5,97.5
1.2027e-09,0.0427220110724,-0.0628805219353,0.00638806042169,2.35825381841e-18,0.42874363532,97.5,97.5
1.2127e-09,0.0430694576834,-0.0630359337882,0.00675552369674,2.35845689935e-18,0.42862196342,97.5,97.5
1.2227e-09,0.0436000244734,-0.0631050940723,0.00713563726636,2.35867529982e-18,0.428521300595,97.5,97.5
1.2327e-09,0.0443089817368,-0.0630786685958,0.0074633378026,2.35888803554e-18,0.428443768931,97.5,97.5
1.2427e-09,0.0451637258982,-0.0629675618153,0.00768638528864,2.3590789868e-18,0.428384505691,97.5,97.5
1.2527e-09,0.0461125025567,-0.0627980822739,0.0077736378342,2.35924008608e-18,0.42833939303,97.5,97.5
1.2627e-09,0.047095529469,-0.0626042095251,0.00771895908321,2.35937116533e-18,0.428312742762,97.5,97.5
1.2727e-09,0.0480559291918,-0.0624194169287,0.00754053960075,2.35947745867e-18,0.428317566493,97.5,97.5
1.2827e-09,0.048948293526,-0.0622699838826,0.00727599939608,2.35956690344e-18,0.428369188981,97.5,97.5
1.2927e-09,0.0497436830337,-0.0621707253722,0.0069742442097,2.35964851405e-18,0.428478250228,97.5,97.5
1.3027e-09,0.05043090958,-0.0621233827308,0.00668572839653,2.35973147679e-18,0.428646552141,97.5,97.5
1.3127e-09,0.0510146759127,-0.0621176764137,0.00645324908224,2.359824163e-18,0.428864331661,97.5,97.5
1.3227e-09,0.0515115712801,-0.0621347562686,0.00630527196083,2.35993275849e-18,0.429107735749,-97.5,97.5
1.3327e-09,0.051945173039,-0.0621523227605,0.00625297124999,2.36005967887e-18,0.429339223079,-97.5,97.5
1.3427e-09,0.0523414804557,-0.0621502884842,0.0062910105951,2.36020243492e-18,0.429514094352,-97.5,97.5
1.3527e-09,0.052725493699,-0.0621156636432,0.00640114819358,2.3603539952e-18,0.429591814462,-97.5,97.5
1.3627e-09,0.0531191528392,-0.0620453937277,0.00655734283833,2.36050510299e-18,0.42954713494,-97.5,97.5
1.3727e-09,0.0535404139004,-0.061946292546,0.00673111102153,2.36064763795e-18,0.429376978598,-97.5,97.5
